category,taxonomyRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,researchTrend,methodTags,keyIdea,strengths,limitations,paperLink,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,fieldsOfStudy
Deep Learning and Representation Learning,11,2020,Multi-Scale Neural Network for EEG Representation Learning in BCI,"Wonjun Ko, Eunjin Jeon, Seungwoo Jeong, Heung-Il Suk",IEEE Computational Intelligence Magazine,2020-03-02,102,7,149.394,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,Recent advances in deep learning have had a methodological and practical impact on brain-computer interface (BCI) research.,high citation signal (102); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/MCI.2021.3061875,https://www.semanticscholar.org/paper/0483c3ed0a6862730b5149397d892e35397f09ee,http://arxiv.org/pdf/2003.02657,10.1109/MCI.2021.3061875,2003.02657,,Computer Science; Engineering; Mathematics; Medicine
Deep Learning and Representation Learning,12,2019,Mutual Information-Driven Subject-Invariant and Class-Relevant Deep Representation Learning in BCI,"Eunjin Jeon, Wonjun Ko, Jee Seok Yoon, Heung-Il Suk",IEEE Transactions on Neural Networks and Learning Systems,2019-10-17,100,4,149.003,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,"In recent years, deep learning-based feature representation methods have shown a promising impact on electroencephalography (EEG)-based brain–computer interface (BCI).",high citation signal (100); recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/TNNLS.2021.3100583,https://www.semanticscholar.org/paper/8c5dc0a51086f27fdf4eb5bb7508b1ac48cbfe9d,https://arxiv.org/pdf/1910.07747,10.1109/TNNLS.2021.3100583,,34357871,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,13,2019,On the Vulnerability of CNN Classifiers in EEG-Based BCIs,"Xiao Zhang, Dongrui Wu",IEEE transactions on neural systems and rehabilitation engineering,2019-03-31,98,6,154.119,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,Deep learning has been successfully used in numerous applications because of its outstanding performance and the ability to avoid manual feature engineering.,recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/TNSRE.2019.2908955,https://www.semanticscholar.org/paper/1552c38b634bfc2c0a70b9fc34548a4de4e4de67,https://arxiv.org/pdf/1904.01002,10.1109/TNSRE.2019.2908955,1904.01002,30951472,Computer Science; Engineering; Mathematics; Medicine
Deep Learning and Representation Learning,14,2024,EEG-Deformer: A Dense Convolutional Transformer for Brain-Computer Interfaces,"Yi Ding, Yong Li, Hao Sun, Rui Liu, Chengxuan Tong, Chenyu Liu, et al.",IEEE journal of biomedical and health informatics,2024-04-25,91,6,144.506,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,Effectively learning the temporal dynamics in electroencephalogram (EEG) signals is challenging yet essential for decoding brain activities using brain-computer interfaces (BCIs).,open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/JBHI.2024.3504604,https://www.semanticscholar.org/paper/19e910105941ebf0fd96f2baa7555617e687f683,https://doi.org/10.1109/jbhi.2024.3504604,10.1109/JBHI.2024.3504604,2405.00719,40030277,Biology; Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,15,2019,Enhanced Drowsiness Detection Using Deep Learning: An fNIRS Study,"M. Tanveer, M. J. Khan, M. Qureshi, Noman Naseer, K. Hong",IEEE Access,,81,5,137.199,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,"In this paper, a deep-learning-based driver-drowsiness detection for brain-computer interface (BCI) using functional near-infrared spectroscopy (fNIRS) is investigated.",open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/ACCESS.2019.2942838,https://www.semanticscholar.org/paper/b161a351df99ca4d8b9da4e7824a5c3c5d23bc5a,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08846024.pdf,10.1109/ACCESS.2019.2942838,,,Computer Science; Engineering
Deep Learning and Representation Learning,16,2019,Optimizing Layers Improves CNN Generalization and Transfer Learning for Imagined Speech Decoding from EEG,"Ciaran Cooney, R. Folli, D. Coyle","IEEE International Conference on Systems, Man and Cybernetics",2019-10-01,79,15,155.311,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",dataset/benchmark; deep learning; communication,A brain-computer interface (BCI) that employs imagined speech as the mode of determining user intent requires strong generalizability for a feasible system to be realized.,influential citation signal (15),PDF link not available from metadata,https://doi.org/10.1109/SMC.2019.8914246,https://www.semanticscholar.org/paper/43c3f6da07940d141649e2114bf1b9f7ae88affd,,10.1109/SMC.2019.8914246,,,Computer Science
Deep Learning and Representation Learning,17,2021,EEGDnet: Fusing Non-Local and Local Self-Similarity for 1-D EEG Signal Denoising with 2-D Transformer,"X. Pu, Peng Yi, Kecheng Chen, Zhaoqi Ma, Di Zhao, Yazhou Ren",Comput. Biol. Medicine,2021-09-09,79,8,143.955,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,Electroencephalogram (EEG) has shown a useful approach to produce a brain-computer interface (BCI).,selected by citation count from the audited BCI candidate pool,PDF link not available from metadata,https://doi.org/10.1016/j.compbiomed.2022.106248,https://www.semanticscholar.org/paper/7965a2067e6ea5ddf04fe1bef4cd2e3e7cc53b0e,,10.1016/j.compbiomed.2022.106248,2109.04235,36343405,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,18,2017,Deep learning-based classification for brain-computer interfaces,"J. Thomas, Tomasz Maszczyk, N. Sinha, T. Kluge, J. Dauwels","IEEE International Conference on Systems, Man and Cybernetics",2017-10-01,74,2,123.26,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,Positions Deep learning-based classification for brain-computer interfaces within Deep Learning and Representation Learning.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1109/SMC.2017.8122608,https://www.semanticscholar.org/paper/0f4aaa5b812c3aca6b21be9574683f92abd0484f,,10.1109/SMC.2017.8122608,,,Computer Science
Deep Learning and Representation Learning,19,2017,The extraction of motion-onset VEP BCI features based on deep learning and compressed sensing.,"Teng Ma, Hui Li, Hao Yang, Xulin Lv, Peiyang Li, Tiejun Liu, et al.",Journal of Neuroscience Methods,,74,1,125.961,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,Positions The extraction of motion-onset VEP BCI features based on deep learning and compressed sensing. within Deep Learning and Representation Learning.,recognized venue,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1016/j.jneumeth.2016.11.002,https://www.semanticscholar.org/paper/19e8a638ca6186ee21458f58b96bd9cfe65ed252,,10.1016/j.jneumeth.2016.11.002,,27845150,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,20,2021,Vehicle driver drowsiness detection method using wearable EEG based on convolution neural network,"Miankuan Zhu, Jiangfan Chen, Haobo Li, Fujian Liang, Lei Han, Zutao Zhang",Neural computing & applications (Print),2021-05-04,69,6,132.493,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,Vehicle drivers driving cars under the situation of drowsiness can cause serious traffic accidents.,open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1007/s00521-021-06038-y,https://www.semanticscholar.org/paper/d06af043778ffcf5da467518090bb1027978d4b8,https://link.springer.com/content/pdf/10.1007/s00521-021-06038-y.pdf,10.1007/s00521-021-06038-y,,33967397,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,21,2022,On The Effects Of Data Normalisation For Domain Adaptation On EEG Data,"Andrea Apicella, F. Isgrò, A. Pollastro, R. Prevete",Engineering applications of artificial intelligence,2022-10-03,69,1,118.944,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",dataset/benchmark; deep learning,"In the Machine Learning (ML) literature, a well-known problem is the Dataset Shift problem where, differently from the ML standard hypothesis, the data in the training and test sets can follow different probability distributions, leading ML systems toward poor generalisation performances.",open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1016/j.engappai.2023.106205,https://www.semanticscholar.org/paper/0e38b1ef26a25df53ff357935d7d1d6bd49223cd,https://doi.org/10.1016/j.engappai.2023.106205,10.1016/j.engappai.2023.106205,2210.01081,,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,22,2015,Investigating deep learning for fNIRS based BCI,"Johannes Hennrich, Christian Herff, D. Heger, Tanja Schultz",Annual International Conference of the IEEE Engineering in Medicine and Biology Society,2015-11-05,68,1,114.127,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,Positions Investigating deep learning for fNIRS based BCI within Deep Learning and Representation Learning.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1109/EMBC.2015.7318984,https://www.semanticscholar.org/paper/f06cd26b4d09ce79de90d9cb5aa0099238eda328,,10.1109/EMBC.2015.7318984,,26736884,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,23,2023,EEG2IMAGE: Image Reconstruction from EEG Brain Signals,"Prajwal Singh, Pankaja Pandey, K. Miyapuram, S. Raman","IEEE International Conference on Acoustics, Speech, and Signal Processing",2023-02-20,66,5,137.755,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",dataset/benchmark; deep learning,"Reconstructing images using brain signals of imagined visuals may provide an augmented vision to the disabled, leading to the advancement of Brain-Computer Interface (BCI) technology.",open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/ICASSP49357.2023.10096587,https://www.semanticscholar.org/paper/399b893f484517d3f8afecba0c39a01ddb6cb20f,https://arxiv.org/pdf/2302.10121,10.1109/ICASSP49357.2023.10096587,2302.10121,,Biology; Computer Science; Medicine
Deep Learning and Representation Learning,24,2022,Denoising EEG Signals for Real-World BCI Applications Using GANs,"Eoin Brophy, P. Redmond, Andrew Fleury, M. de Vos, G. Boylan, Tomás Ward",Frontiers in Neuroergonomics,2022-01-13,52,2,120.621,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",dataset/benchmark; deep learning; communication,"As a measure of the brain's electrical activity, electroencephalography (EEG) is the primary signal of interest for brain-computer-interfaces (BCI).",open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3389/fnrgo.2021.805573,https://www.semanticscholar.org/paper/b21bc436089f879558fc823ba04b9044e60193d4,https://www.frontiersin.org/articles/10.3389/fnrgo.2021.805573/pdf,10.3389/fnrgo.2021.805573,,38235245,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,25,2024,Transfer learning promotes acquisition of individual BCI skills,"Satyam Kumar, Hussein Alawieh, F. S. Racz, R. Fakhreddine, J. D. R. Millán",PNAS Nexus,2024-02-01,39,2,109.43,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,Abstract Subject training is crucial for acquiring brain–computer interface (BCI) control.,selected by citation count from the audited BCI candidate pool,PDF link not available from metadata,https://doi.org/10.1093/pnasnexus/pgae076,https://www.semanticscholar.org/paper/b2ef35bf3af22b17d3d45f85812662d606713f3d,,10.1093/pnasnexus/pgae076,,38426121,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,26,2024,Evaluating Deep Learning with different feature scaling techniques for EEG-based Music Entrainment Brain Computer Interface,"R. C R, D. C P",e-Prime,2024-01-01,21,0,76.503,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,Positions Evaluating Deep Learning with different feature scaling techniques for EEG-based Music Entrainment Brain Computer Interface within Deep Learning and Representation Learning.,open-access PDF metadata,abstract unavailable in metadata; limited citation history,https://doi.org/10.1016/j.prime.2024.100448,https://www.semanticscholar.org/paper/88ae23aea4eb9db6f156a0f3671f5d7afc40dc59,https://doi.org/10.1016/j.prime.2024.100448,10.1016/j.prime.2024.100448,,,Computer Science; Engineering
Deep Learning and Representation Learning,27,2024,A bidirectional cross-modal transformer representation learning model for EEG-fNIRS multimodal affective BCI,"Xiaopeng Si, Shuai Zhang, Zhuobin Yang, Jiayue Yu, Dong Ming",Expert systems with applications,2024-12-01,21,0,76.503,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",deep learning,Positions A bidirectional cross-modal transformer representation learning model for EEG-fNIRS multimodal affective BCI within Deep Learning and Representation Learning.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; limited citation history; PDF link not available from metadata,https://doi.org/10.1016/j.eswa.2024.126081,https://www.semanticscholar.org/paper/1ba51f77e3f42657def5dc1a725486a8a9f06980,,10.1016/j.eswa.2024.126081,,,Computer Science; Engineering; Medicine
Deep Learning and Representation Learning,28,2025,Multimodal Brain-Computer Interfaces: AI-powered Decoding Methodologies,"Siyang Li, Hongbin Wang, Xiaoqing Chen, Dongrui Wu",arXiv.org,2025-02-05,15,0,73.997,"Deep learning work is moving beyond single-dataset CNN classifiers toward temporal, spectral, graph, transformer, and attention-based architectures. A major trend is representation learning that can transfer across users, sessions, headsets, and BCI paradigms with less subject-specific calibration. Interpretability, uncertainty, robustness to artifacts, and benchmark comparability are becoming as important as peak classification accuracy.",review; communication,Brain-computer interfaces (BCIs) enable direct communication between the brain and external devices.,selected by citation count from the audited BCI candidate pool,recent work may be under-cited; limited citation history; PDF link not available from metadata,https://doi.org/10.48550/arXiv.2502.02830,https://www.semanticscholar.org/paper/97bbf0ff2aae320606e527df311af3c12b716c70,,10.48550/arXiv.2502.02830,2502.02830,,Biology; Computer Science
