category,taxonomyRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,methodTags,keyIdea,strengths,limitations,paperLink,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,fieldsOfStudy
EEG Signal Processing and Datasets,4,2021,Brain-Computer Interface: Advancement and Challenges,"M. F. Mridha, S. Das, Muhammad Mohsin Kabir, Aklima Akter Lima, Md. Rashedul Islam, Yutaka Watanobe",Italian National Conference on Sensors,2021-08-26,213,3,156.005,review,"Brain-Computer Interface (BCI) is an advanced and multidisciplinary active research domain based on neuroscience, signal processing, biomedical sensors, hardware, etc.",high citation signal (213); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3390/s21175746,https://www.semanticscholar.org/paper/507c5ead8c4a7e76666c068c5369fd6c4e3e7c1a,https://www.mdpi.com/1424-8220/21/17/5746/pdf,10.3390/s21175746,,34502636,Computer Science; Engineering; Medicine
EEG Signal Processing and Datasets,5,2021,A systematic review on hybrid EEG/fNIRS in brain-computer interface,"Ziming Liu, J. Shore, Miao Wang, Fengpei Yuan, Aaron T. Buss, Xiaopeng Zhao",Biomedical Signal Processing and Control,2021-07-01,130,4,149.224,review,"Abstract As a relatively new field of neurology and computer science, brain computer interface (BCI) has many established and burgeoning applications across scientific disciplines.",high citation signal (130),PDF link not available from metadata,https://doi.org/10.1016/J.BSPC.2021.102595,https://www.semanticscholar.org/paper/78d59148b5ff6759e81ecea86c62313e3f98875d,,10.1016/J.BSPC.2021.102595,,,Computer Science; Engineering; Medicine
EEG Signal Processing and Datasets,6,2021,Decoding Imagined Speech Based on Deep Metric Learning for Intuitive BCI Communication,"Dong-Yeon Lee, Minji Lee, Seong-Whan Lee",IEEE transactions on neural systems and rehabilitation engineering,2021-07-13,55,7,146.988,dataset/benchmark; communication,Imagined speech is a highly promising paradigm due to its intuitive application and multiclass scalability in the field of brain-computer interfaces.,recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/TNSRE.2021.3096874,https://www.semanticscholar.org/paper/1547f7a8ca47b88f6894b013adf48791674d7519,https://ieeexplore.ieee.org/ielx7/7333/9363468/09481777.pdf,10.1109/TNSRE.2021.3096874,,34255630,Computer Science; Medicine
EEG Signal Processing and Datasets,7,2023,Neurofeedback Training With an Electroencephalogram-Based Brain-Computer Interface Enhances Emotion Regulation,"Weichen Huang, Wei Wu, Molly V. Lucas, Haiyun Huang, Zhenfu Wen, Yuanqing Li",IEEE Transactions on Affective Computing,2023-04-01,45,5,132.482,closed-loop,Emotion regulation plays a vital role in human beings daily lives by helping them deal with social problems and protects mental and physical health.,recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/TAFFC.2021.3134183,https://www.semanticscholar.org/paper/617820ce9645a0ea55af2ef78367e15a5f9d7701,https://ieeexplore.ieee.org/ielx7/5165369/5520654/09647919.pdf,10.1109/TAFFC.2021.3134183,,,Computer Science
EEG Signal Processing and Datasets,8,2020,Application of Transfer Learning in EEG Decoding Based on Brain-Computer Interfaces: A Review,"Kai Zhang, Guanghua Xu, Xiaowei Zheng, Huanzhong Li, Sicong Zhang, Yunhui Yu, et al.",Italian National Conference on Sensors,2020-11-01,60,4,132.409,review,The algorithms of electroencephalography (EEG) decoding are mainly based on machine learning in current research.,open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3390/s20216321,https://www.semanticscholar.org/paper/052abb4e956ff1124430e3f7b9dd6e20cf73d0e7,https://www.mdpi.com/1424-8220/20/21/6321/pdf?version=1604587834,10.3390/s20216321,,33167561,Computer Science; Medicine
EEG Signal Processing and Datasets,9,2023,State-of-the-Art on Brain-Computer Interface Technology,"Jānis Pekša, D. Mamchur",Italian National Conference on Sensors,2023-06-28,119,2,131.1,BCI method,This paper provides a comprehensive overview of the state-of-the-art in brain–computer interfaces (BCI).,high citation signal (119); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3390/s23136001,https://www.semanticscholar.org/paper/e27073dfe39bed1e9e0e059cddccb351f3df059a,https://www.mdpi.com/1424-8220/23/13/6001/pdf?version=1687945239,10.3390/s23136001,,37447849,Computer Science; Medicine
EEG Signal Processing and Datasets,10,2024,"Comprehensive evaluation methods for translating BCI into practical applications: usability, user satisfaction and usage of online BCI systems","He Pan, Peng Ding, Fan Wang, Tianwen Li, Lei Zhao, Wenya Nan, et al.",Frontiers in Human Neuroscience,2024-06-05,35,4,130.807,review,"Although brain-computer interface (BCI) is considered a revolutionary advancement in human-computer interaction and has achieved significant progress, a considerable gap remains between the current technological capabilities and their practical applications.",recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3389/fnhum.2024.1429130,https://www.semanticscholar.org/paper/d51072b74302293dc43361d3e3689939adc2a0b8,https://www.frontiersin.org/articles/10.3389/fnhum.2024.1429130/pdf?isPublishedV2=False,10.3389/fnhum.2024.1429130,,38903409,Computer Science; Engineering; Medicine
EEG Signal Processing and Datasets,11,2023,Open multi-session and multi-task EEG cognitive Dataset for passive brain-computer Interface Applications,"Marcel F. Hinss, E. Jahanpour, B. Somon, Lou Pluchon, F. Dehais, R. Roy",Scientific Data,2023-02-10,51,5,130.179,dataset/benchmark,"Brain-Computer Interfaces and especially passive Brain-Computer interfaces (pBCI), with their ability to estimate and monitor user mental states, are receiving increasing attention from both the fundamental research and the applied research and development communities.",open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1038/s41597-022-01898-y,https://www.semanticscholar.org/paper/6fdc53252e453f08d7d635b69b818d02eb2f2809,https://www.nature.com/articles/s41597-022-01898-y.pdf,10.1038/s41597-022-01898-y,,36765121,Computer Science; Engineering; Medicine
EEG Signal Processing and Datasets,12,2022,Machine-learning-enabled adaptive signal decomposition for a brain-computer interface using EEG,"Ashwin Kamble, P. Ghare, Vinay P. Kumar",Biomedical Signal Processing and Control,2022-04-01,55,4,122.028,closed-loop,Positions Machine-learning-enabled adaptive signal decomposition for a brain-computer interface using EEG within EEG Signal Processing and Datasets.,selected from the top-scored BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1016/j.bspc.2022.103526,https://www.semanticscholar.org/paper/af6ee57f981ed313b9a82d41f053b6e8ad106166,,10.1016/j.bspc.2022.103526,,,Computer Science; Medicine
EEG Signal Processing and Datasets,13,2022,Evaluation of a New Lightweight EEG Technology for Translational Applications of Passive Brain-Computer Interfaces,"Nicolina Sciaraffa, G. di Flumeri, D. Germano, Andrea Giorgi, Antonio Di Florio, G. Borghini, et al.",Frontiers in Human Neuroscience,2022-07-14,44,2,119.522,BCI method,Technologies like passive brain-computer interfaces (BCI) can enhance human-machine interaction.,recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3389/fnhum.2022.901387,https://www.semanticscholar.org/paper/5106a4cdf3087e4e973654f360d0a01ae7ef2ddc,https://www.frontiersin.org/articles/10.3389/fnhum.2022.901387/pdf,10.3389/fnhum.2022.901387,,35911603,Engineering; Medicine
EEG Signal Processing and Datasets,14,2022,EEG artifacts detection and removal techniques for brain computer interface applications: a systematic review,,International Journal of Advanced Technology and Engineering Exploration,2022-03-31,37,3,116.48,review,Positions EEG artifacts detection and removal techniques for brain computer interface applications: a systematic review within EEG Signal Processing and Datasets.,open-access PDF metadata,abstract unavailable in metadata,https://doi.org/10.19101/ijatee.2021.874883,https://www.semanticscholar.org/paper/8e0beff872cfec7dc1707de77bb0e77e7b66d6a6,https://www.accentsjournals.org/PaperDirectory/Journal/IJATEE/2022/3/8.pdf,10.19101/ijatee.2021.874883,,,Computer Science; Engineering; Medicine
EEG Signal Processing and Datasets,15,2022,Automatic EEG channel selection for multiclass brain-computer interface classification using multiobjective improved firefly algorithm,"Anurag Tiwari, Amrita Chaturvedi",Multimedia tools and applications,2022-03-20,38,4,114.068,BCI method,Positions Automatic EEG channel selection for multiclass brain-computer interface classification using multiobjective improved firefly algorithm within EEG Signal Processing and Datasets.,selected from the top-scored BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1007/s11042-022-12795-2,https://www.semanticscholar.org/paper/ec371014f1f6c6a27deb06f52595ebb83a633ea3,,10.1007/s11042-022-12795-2,,,Computer Science
EEG Signal Processing and Datasets,16,2023,Hybrid EEG-fNIRS brain-computer interface based on the non-linear features extraction and stacking ensemble learning,"Asmaa Maher, Saeed Mian Qaisar, N. Salankar, Feng Jiang, R. Tadeusiewicz, Paweł Pławiak, et al.",Biocybernetics and Biomedical Engineering,2023-05-01,41,3,111.682,BCI method,Positions Hybrid EEG-fNIRS brain-computer interface based on the non-linear features extraction and stacking ensemble learning within EEG Signal Processing and Datasets.,open-access PDF metadata,abstract unavailable in metadata,https://doi.org/10.1016/j.bbe.2023.05.001,https://www.semanticscholar.org/paper/d792f8e4d56061a5843d4c17a603ed908fdd8704,https://doi.org/10.1016/j.bbe.2023.05.001,10.1016/j.bbe.2023.05.001,,,Computer Science; Engineering
EEG Signal Processing and Datasets,17,2023,Adversarial robustness benchmark for EEG-based brain-computer interfaces,"Lubin Meng, Xue Jiang, Dongrui Wu",Future generations computer systems,2023-02-01,24,3,105.269,dataset/benchmark,Positions Adversarial robustness benchmark for EEG-based brain-computer interfaces within EEG Signal Processing and Datasets.,selected from the top-scored BCI candidate pool,abstract unavailable in metadata; limited citation history; PDF link not available from metadata,https://doi.org/10.1016/j.future.2023.01.028,https://www.semanticscholar.org/paper/aa67e0dc569c5d826feda50a7f90526f9af2b67d,,10.1016/j.future.2023.01.028,,,Computer Science; Engineering; Medicine
EEG Signal Processing and Datasets,18,2024,"Instrumentation, Measurement, and Signal Processing in Electroencephalography-Based Brain-Computer Interfaces: Situations and Prospects","Zifan Xue, Yunfan Zhang, Hui Li, Hongbin Chen, Shengnan Shen, Hejun Du",IEEE Transactions on Instrumentation and Measurement,,27,0,96.308,review,"Proper signal measurement and processing are crucial in electroencephalography (EEG)-based brain-computer interfaces (BCIs), as they form the basis of brain insight and precise BCI control.",recognized venue,PDF link not available from metadata,https://doi.org/10.1109/TIM.2024.3417598,https://www.semanticscholar.org/paper/5866d931e7a2283bde6b0855bfe0157ed262a6bf,,10.1109/TIM.2024.3417598,,,Computer Science; Engineering; Medicine
EEG Signal Processing and Datasets,19,2024,"Enhancing learning experiences: EEG-based passive BCI system adapts learning speed to cognitive load in real-time, with motivation as catalyst","Noémie Beauchemin, Patrick Charland, A. Karran, Jared Boasen, Bella Tadson, S. Sénécal, et al.",Frontiers in Human Neuroscience,2024-10-07,31,0,92.246,closed-loop,"Computer-based learning has gained popularity in recent years, providing learners greater flexibility and freedom.",recognized venue,PDF link not available from metadata,https://doi.org/10.3389/fnhum.2024.1416683,https://www.semanticscholar.org/paper/cafdaa393ea2d0d03eeac616200d1d26e5acfc7a,,10.3389/fnhum.2024.1416683,,39435350,Computer Science; Education; Medicine
EEG Signal Processing and Datasets,20,2024,ChineseEEG: A Chinese Linguistic Corpora EEG Dataset for Semantic Alignment and Neural Decoding,"Xinyu Mou, Cuilin He, Liwei Tan, Junjie Yu, Huadong Liang, Jianyu Zhang, et al.",bioRxiv,2024-02-09,18,1,89.754,dataset/benchmark; communication,An Electroencephalography (EEG) dataset utilizing rich text stimuli can advance the understanding of how the brain encodes semantic information and contribute to semantic decoding in brain-computer interface (BCI).,open-access PDF metadata,limited citation history,https://doi.org/10.1038/s41597-024-03398-7,https://www.semanticscholar.org/paper/a7e36e3fb0d1ec3235a484cdf5256f659444827f,https://www.nature.com/articles/s41597-024-03398-7.pdf,10.1038/s41597-024-03398-7,,38811613,Biology; Computer Science; Linguistics; Medicine
EEG Signal Processing and Datasets,21,2025,A Survey on Brain-Computer Interface-Inspired Communications: Opportunities and Challenges,"Honglin Hu, Zhenyu Wang, Xi Zhao, Ruxue Li, Ang Li, Yuan Si, et al.",IEEE Communications Surveys and Tutorials,2025-02-01,29,0,87.826,review; communication,Brain-computer interfaces (BCIs) aim to directly bridge the human brain and the outside world through acquiring and processing the brain signals in real time.,selected from the top-scored BCI candidate pool,recent work may be under-cited; PDF link not available from metadata,https://doi.org/10.1109/COMST.2024.3396847,https://www.semanticscholar.org/paper/6fe7a188e5666bef056303b8fb99fd64b77c977b,,10.1109/COMST.2024.3396847,,,Computer Science; Engineering
EEG Signal Processing and Datasets,22,2025,Beyond the lab: real-world benchmarking of wearable EEGs for passive brain-computer interfaces,"V. Ronca, Marianna Cecchetti, R. Capotorto, G. D. Flumeri, A. Giorgi, D. Germano, et al.",Brain Informatics,2025-12-28,10,1,81.23,BCI method,Wearable EEG systems are increasingly used for brain–computer interface (BCI) applications beyond controlled laboratory environments.,recognized venue,recent work may be under-cited; limited citation history; PDF link not available from metadata,https://doi.org/10.1186/s40708-025-00290-x,https://www.semanticscholar.org/paper/10569e37d165835283ea2d533ba06cdfc2e57616,,10.1186/s40708-025-00290-x,,41456250,Computer Science; Engineering; Medicine
EEG Signal Processing and Datasets,23,2025,Pretraining Large Brain Language Model for Active BCI: Silent Speech,"Jinzhao Zhou, Zehong Cao, Yiqun Duan, Connor Barkley, Daniel Leong, Xiaowei Jiang, et al.",ACM Multimedia,2025-04-29,9,1,78.134,dataset/benchmark; deep learning; communication,"This paper explores silent speech decoding in active brain-computer interface (BCI) systems, which offer more natural and flexible communication than traditional BCI applications.",selected from the top-scored BCI candidate pool,recent work may be under-cited; limited citation history; PDF link not available from metadata,https://doi.org/10.1145/3746027.3754810,https://www.semanticscholar.org/paper/3baf1e84a67ebf713f702515bfb19b3649dc8ff3,,10.1145/3746027.3754810,2504.21214,,Computer Science; Engineering; Medicine
EEG Signal Processing and Datasets,24,2025,Time-frequency transform based EEG data augmentation for brain-computer interfaces,"Ziwei Wang, Siyang Li, Xiaoqing Chen, Dongrui Wu",Knowledge-Based Systems,2025-02-01,22,0,73.481,BCI method,Positions Time-frequency transform based EEG data augmentation for brain-computer interfaces within EEG Signal Processing and Datasets.,selected from the top-scored BCI candidate pool,abstract unavailable in metadata; recent work may be under-cited; limited citation history,https://doi.org/10.1016/j.knosys.2025.113074,https://www.semanticscholar.org/paper/2faf83ead939f89c432c6af429deb959e60f0ad7,,10.1016/j.knosys.2025.113074,,,Computer Science; Engineering; Medicine
EEG Signal Processing and Datasets,25,2025,E-FNet: A EEG-fNIRS dual-stream model for Brain-Computer Interfaces,"Binlong Yu, Lei Cao, Jie Jia, Chunjiang Fan, Yilin Dong, Changming Zhu",Biomedical Signal Processing and Control,2025-02-01,20,0,71.479,BCI method,Positions E-FNet: A EEG-fNIRS dual-stream model for Brain-Computer Interfaces within EEG Signal Processing and Datasets.,selected from the top-scored BCI candidate pool,abstract unavailable in metadata; recent work may be under-cited; limited citation history,https://doi.org/10.1016/j.bspc.2024.106943,https://www.semanticscholar.org/paper/d58524d85242177d14d7ede41c4c7dfa67e1b157,,10.1016/j.bspc.2024.106943,,,Computer Science; Engineering; Medicine
EEG Signal Processing and Datasets,26,2026,Multi-Scale Shapley Adaptation Pruning: Realizing Backdoor Defense in Brain-Computer Interface With Shapley-Value-Based Neural Network Pruning,"Fumin Li, Rui Yang, Hanjing Cheng, Mengjie Huang, Fan Zhang, Fuad E. Alsaadi, et al.",IEEE Transactions on Emerging Topics in Computational Intelligence,2026-02-01,7,0,66.748,dataset/benchmark,"In the recent years, researchers made significant progress in electroencephalogram (EEG) classification tasks using deep neural networks, especially in brain-computer interface (BCI) systems.",recognized venue,recent work may be under-cited; limited citation history; PDF link not available from metadata,https://doi.org/10.1109/TETCI.2025.3619564,https://www.semanticscholar.org/paper/4a7d33dae097e28d6e54af5ec354cd68aec0b29c,,10.1109/TETCI.2025.3619564,,,Computer Science
EEG Signal Processing and Datasets,27,2026,BROAD APPLICATIONS OF CONSUMER-GRADE EEG DEVICES: FROM CLINICAL DIAGNOSTICS TO BRAIN-COMPUTER INTERFACES AND SOCIAL SCIENCES – LITERATURE REVIEW,"K. Borzęcka, Agnieszka Szwed, A. Sołtys, Daria Aleksandra Warzocha-Żurek, Ewa Maria Polewczak-Karp, Katarzyna Wawrzonek, et al.",International Journal of Innovative Technologies in Social Science,2026-06-11,0,0,28.0,review; clinical/rehab,Research Objective: This review article aims to assess the rapidly growing market for commercial electroencephalography (EEG) devices and analyze their transition from sterile laboratory conditions to a variety of real-world applications.,recognized venue,recent work may be under-cited; limited citation history; PDF link not available from metadata,https://doi.org/10.31435/ijitss.2(50).2026.5446,https://www.semanticscholar.org/paper/d9a79fe902d458c1bf82fd3fb0914fb4e1c50d82,,10.31435/ijitss.2(50).2026.5446,,,Computer Science; Engineering; Medicine
EEG Signal Processing and Datasets,28,2026,Adversarial attacks and defenses in EEG based Brain Computer Interfaces: A comprehensive survey and future directions,"Nour El-Houda Sayah Ben Aissa, Kerrache Chaker Abdelaziz, C. Calafate",Comput. Stand. Interfaces,2026-08-01,1,0,26.749,review,Positions Adversarial attacks and defenses in EEG based Brain Computer Interfaces: A comprehensive survey and future directions within EEG Signal Processing and Datasets.,selected from the top-scored BCI candidate pool,abstract unavailable in metadata; recent work may be under-cited; limited citation history,https://doi.org/10.1016/j.csi.2026.104155,https://www.semanticscholar.org/paper/94dfd965af5fd33d3249baa0769b6b5277556c4e,,10.1016/j.csi.2026.104155,,,Computer Science; Engineering; Medicine
